PlaceName,State,TCUSA,Years,TCPopulation,pop_2012,pct_poverty,hh_inc_med,fam_inc_med,pct_hsgrad,pct_bachdeg,pct_ownocc,pct_rentocc,hm_val_med,pct_white,age_med,pct_u18,pct_o65,region9,tcusa8nn
Haddon township,NJ,0,0,-99,14712,0.065,73676,92718,0.924,0.394,0.754,0.246,249500,0.9312,41.5,0.216,0.171,Middle Atlantic,1
Los Lunas village,NM,0,0,-99,14731,0.157,49884,64272,0.8646,0.2287,0.7638,0.2362,155900,0.726,32.3,0.2995,0.0963,Mountain,0
Cloverly CDP,MD,0,0,-99,14735,0.0156,122650,133929,0.9309,0.5759,0.9191,0.0809,506300,0.5028,45.1,0.229,0.1466,South Atlantic,0
Malta town,NY,0,0,-99,14735,0.035,71395,78253,0.954,0.415,0.651,0.349,249000,0.9448,40.7,0.208,0.121,Middle Atlantic,0
Bostonia CDP,CA,0,0,-99,14739,0.1681,43784,49190,0.8282,0.1383,0.4387,0.5613,289200,0.8235,32.6,0.2491,0.1234,Pacific,2
Jennings city,MO,0,0,-99,14741,0.1834,31443,36811,0.7687,0.104,0.6176,0.3824,72300,0.0961,37.3,0.2555,0.1199,West North Central,0
Hammonton town,NJ,0,0,-99,14745,0.109,59011,75217,0.804,0.217,0.698,0.302,253300,0.8056,41.1,0.216,0.153,Middle Atlantic,0
St. John town,IN,0,0,-99,14753,0.026,97868,103965,0.9519,0.3577,0.959,0.041,254600,0.9115,40.1,0.2587,0.1108,East North Central,2
Apollo Beach CDP,FL,0,0,-99,14759,0.0612,66542,85014,0.9213,0.3047,0.794,0.206,213100,0.8934,41.7,0.2233,0.1333,South Atlantic,0
Clark township,NJ,0,0,-99,14768,0.033,92572,109747,0.921,0.342,0.815,0.185,445500,0.9392,45,0.204,0.183,Middle Atlantic,2
Glasgow CDP,DE,0,0,-99,14780,0.0318,86804,93888,0.945,0.3386,0.8688,0.1312,266600,0.6109,36.8,0.2283,0.0679,South Atlantic,2
Moreau town,NY,0,0,-99,14785,0.081,55011,65009,0.906,0.18,0.741,0.259,158500,0.9656,42.1,0.202,0.14,Middle Atlantic,0
Weston village,WI,1,3,15052,14786,0.06,54770,62350,0.8968,0.2151,0.6275,0.3725,142100,0.9059,37.2,0.2548,0.1257,East North Central,2
Indianola city,IA,1,20,14782,14787,0.1114,52872,71432,0.9572,0.3128,0.6837,0.3163,146500,0.9656,32.7,0.2414,0.1384,West North Central,0
Midlothian village,IL,0,0,-99,14788,0.1239,60829,64375,0.8753,0.189,0.7423,0.2577,169800,0.7742,33.9,0.2798,0.094,East North Central,1
Pataskala city,OH,0,0,-99,14794,0.0728,59341,68217,0.9069,0.253,0.7318,0.2682,162400,0.9102,36.1,0.2504,0.1262,East North Central,2
Cullman city,AL,1,26,15000,14801,0.2041,36608,45280,0.8189,0.2282,0.569,0.431,128600,0.9483,37.9,0.2363,0.1988,East South Central,0
Scottsboro city,AL,1,29,14770,14804,0.1508,37748,51430,0.8012,0.2237,0.7219,0.2781,116100,0.928,43.1,0.2068,0.1908,East South Central,0
Woodcrest CDP,CA,0,0,-99,14819,0.0486,91021,100057,0.8875,0.2429,0.9141,0.0859,356900,0.8061,41.7,0.2218,0.1123,Pacific,1
Seagoville city,TX,0,0,-99,14829,0.1344,45016,48703,0.7738,0.1384,0.6601,0.3399,82900,0.7522,33.4,0.2548,0.0776,West South Central,1
Alexander City city,AL,1,17,15000,14848,0.2338,33373,41282,0.7378,0.1533,0.5661,0.4339,98100,0.6423,39,0.2499,0.1581,East South Central,0
Palmetto Estates CDP,FL,0,0,-99,14852,0.1378,61827,71844,0.8601,0.2495,0.8331,0.1669,169300,0.5622,37.4,0.2286,0.1071,South Atlantic,2
North Fair Oaks CDP,CA,0,0,-99,14857,0.1837,55794,51754,0.5664,0.1939,0.4861,0.5139,587000,0.7135,30.9,0.255,0.0695,Pacific,3
Deming city,NM,0,0,-99,14864,0.3016,26767,31027,0.6727,0.1134,0.5848,0.4152,94700,0.883,34.1,0.2903,0.1813,Mountain,0
West University Place city,TX,1,24,15200,14866,0.0259,202132,227425,0.9854,0.858,0.885,0.115,751600,0.8845,40.9,0.2931,0.0947,West South Central,2
Los Osos CDP,CA,0,0,-99,14874,0.0825,57683,69679,0.9301,0.3562,0.6686,0.3314,387100,0.834,45.9,0.1741,0.1893,Pacific,1
Antrim township,PA,0,0,-99,14878,0.059,67954,70702,0.854,0.195,0.846,0.154,202100,0.9547,39.3,0.264,0.128,Middle Atlantic,0
Ozark city,AL,1,18,15001,14879,0.1654,42252,59284,0.8299,0.1816,0.6181,0.3819,95500,0.6802,42.2,0.2169,0.1806,East South Central,0
Upper Saucon township,PA,0,0,-99,14879,0.029,95230,103777,0.955,0.485,0.915,0.085,285900,0.93,40.7,0.22,0.142,Middle Atlantic,2
Ewa Beach CDP,HI,0,0,-99,14881,0.1467,70793,72922,0.8223,0.1105,0.6495,0.3505,410500,0.11,33.7,0.2496,0.1417,Pacific,1
Greensburg city,PA,0,0,-99,14881,0.135,41082,61108,0.933,0.32,0.516,0.484,119600,0.9259,43,0.149,0.194,Middle Atlantic,0
Pomfret town,NY,0,0,-99,14886,0.237,44755,62451,0.936,0.323,0.627,0.373,119700,0.9093,27.4,0.139,0.128,Middle Atlantic,0
Forest City CDP,FL,0,0,-99,14892,0.1084,51132,57457,0.9118,0.2509,0.6298,0.3702,201800,0.8355,38.5,0.2413,0.1183,South Atlantic,2
North Reading town,MA,0,0,-99,14919,0.051,105198,118642,0.953,0.458,0.894,0.106,422100,0.9407,42,0.246,0.124,New England,5
Aldine CDP,TX,0,0,-99,14923,0.2707,33977,36367,0.4486,0.027,0.604,0.396,80200,0.8431,25.8,0.3472,0.0669,West South Central,1
Englewood CDP,FL,0,0,-99,14929,0.112,38468,49966,0.9082,0.2145,0.7824,0.2176,130500,0.9705,65,0.0762,0.4996,South Atlantic,1
Phillipsburg town,NJ,1,3,14950,14936,0.182,45715,54595,0.778,0.123,0.563,0.437,166000,0.848,38.6,0.243,0.131,Middle Atlantic,1
Lower Salford township,PA,0,0,-99,14951,0.021,93656,107832,0.951,0.472,0.746,0.254,355900,0.9044,38.3,0.275,0.104,Middle Atlantic,0
Royal Kunia CDP,HI,0,0,-99,14952,0.0462,104448,105099,0.9094,0.2368,0.7365,0.2635,517900,0.1058,36.2,0.2339,0.0957,Pacific,0
Zachary city,LA,0,0,-99,14954,0.0862,65558,72779,0.9232,0.2818,0.7867,0.2133,188600,0.5669,33.8,0.311,0.102,West South Central,0
Hilltown township,PA,0,0,-99,14955,0.055,84109,93302,0.931,0.356,0.808,0.192,344600,0.9324,40.4,0.255,0.131,Middle Atlantic,0
Aberdeen city,MD,0,0,-99,14958,0.1407,54460,65656,0.8593,0.1888,0.6368,0.3632,215100,0.5911,38.9,0.2403,0.1266,South Atlantic,3
Elkridge CDP,MD,0,0,-99,14959,0.041,83231,106114,0.9403,0.4617,0.724,0.276,319200,0.6412,34.1,0.2618,0.067,South Atlantic,0
Fillmore city,CA,0,0,-99,14961,0.1045,59706,64572,0.6387,0.1411,0.6401,0.3599,327900,0.5982,32.7,0.327,0.1011,Pacific,3
Scottsbluff city,NE,1,26,15062,14971,0.1782,35116,42250,0.8292,0.2125,0.5483,0.4517,91800,0.8842,36.9,0.248,0.1604,West North Central,3
